gene_id E15_cpn	E15_corticothal	E15_subcereb	E16_cpn	E16_corticothal	E16_subcereb	E18_cpn	E18_corticothal	E18_subcereb	P1_cpn	P1_corticothal	P1_subcereb	cluster	gene_id	gene_type
Ercc2	33.8045	19.9137	28.0271	25.7721	19.6755	26.2011	26.5269	24.192	25.8826	24.3436	19.9017	21.8759	15	Ercc2	Protein coding
Ercc5	17.2834	12.7921	14.9092	15.4951	11.7885	11.5261	12.1252	10.6809	9.17095	9.21501	8.02153	7.08907	19	Ercc5	Protein coding
Ercc6	9.95523	7.80279	9.54008	9.76761	8.42907	8.09719	8.17529	6.86439	6.40419	5.80253	5.60091	4.57542	19	Ercc6	Protein coding
Erf	5.63829	11.1676	9.80222	7.49206	7.57276	11.0111	5.66578	7.97558	8.71273	8.00903	10.3712	9.81874	14	Erf	Protein coding
Ergic1	55.5322	48.7265	48.8939	58.9549	53.6612	63.7783	59.8003	58.1317	69.3726	87.0491	85.8497	103.718	18	Ergic1	Protein coding
Ergic3	47.9627	61.7491	55.5146	56.7167	60.9046	59.2431	59.5709	63.8905	55.7613	98.5192	99.6009	115.805	18	Ergic3	Protein coding
Erh	143.153	92.9535	114.9	141.664	97.7525	147.411	131.833	104.228	145.208	145.042	133.528	168.231	18	Erh	Protein coding
Eri1	7.20205	6.76254	7.7632	7.12204	6.15767	7.15858	5.93835	5.55094	6.06551	3.53748	2.66386	3.80963	19	Eri1	Protein coding
Eri2	6.00828	6.68828	6.78853	5.28473	7.36845	5.9418	4.93955	6.46711	5.55975	2.54768	3.31403	3.43609	19	Eri2	Protein coding
Eri3	63.2556	64.1105	62.8672	71.5805	68.5796	81.3373	83.058	77.8161	94.6008	107.526	105.899	132.3	18	Eri3	Protein coding
Erlec1	6.21274	5.62835	5.65471	6.43412	6.10522	5.07879	5.46839	5.4383	4.39954	6.90021	7.86748	8.25926	18	Erlec1	Protein coding
Erlin1	6.97912	6.74036	7.43559	8.10434	8.00859	10.5274	7.62941	6.9328	10.5658	8.69502	5.675	10.8016	19	Erlin1	Protein coding
Ermn	0.0996017	0.131749	0.10545	0.040417	0.354246	5.59937	0.157087	0.440899	17.8818	0.0552423	0.121175	6.70062	16	Ermn	Protein coding
Ermp1	1.6605	1.82409	1.56897	1.69626	2.17928	1.73697	1.74466	2.71339	2.15764	3.72803	8.40502	3.6759	17	Ermp1	Protein coding
Ero1lb	8.80086	11.8938	9.91122	8.89761	10.5419	9.19797	9.80838	10.2379	8.35274	5.8663	6.09189	4.52859	19	Ero1lb	Protein coding
Erp27	0	0	0	0.0548423	0.00572238	0.260441	0.0722543	0	0.531944	0.0577857	0.0346103	0.272937	16	Erp27	Protein coding
Erp29	55.6343	60.5824	64.043	56.5009	53.3798	70.3496	60.0943	62.8957	81.4966	78.227	81.7526	127.745	18	Erp29	Protein coding
Errfi1	7.74855	8.72552	9.58049	4.63017	6.67254	6.51073	4.76367	6.7755	6.39004	5.00637	6.85074	7.17078	13	Errfi1	Protein coding
Esd	25.9521	31.3566	30.4714	16.3534	27.2725	26.0587	10.3376	28.7644	33.8966	10.765	31.2288	54.5809	11	Esd	Protein coding
Esf1	8.47749	6.81689	7.38948	8.87645	6.79879	8.34347	7.2811	6.25786	8.64773	5.26442	4.64703	7.20698	19	Esf1	Protein coding
Esm1	0.0124917	0.0775322	0.0395687	0	0.0489452	0.0315665	0	0.112555	0.119448	0	0.291247	0.0347628	9	Esm1	Protein coding
Esr1	0	0.106032	0.00448798	0.0464373	0.234281	0.00765053	0.39082	0.251256	0.0237346	0.693905	0.444486	0.0568166	17	Esr1	Protein coding
Esrra	26.8727	17.1053	21.8176	18.2409	15.3597	14.2734	15.7471	14.8802	12.4276	12.5024	11.4667	9.47787	19	Esrra	Protein coding
Esrrg	0.113429	2.30838	0.817596	1.10618	3.19488	2.89917	5.84779	3.31456	7.23726	8.99887	4.35392	7.28127	4	Esrrg	Protein coding
Esyt1	3.29909	3.15405	4.6742	2.33238	2.92616	11.3165	3.4221	3.67655	13.3162	3.80934	2.9574	11.1404	16	Esyt1	Protein coding
Esyt2	7.613	7.47035	6.07153	11.6892	8.4236	9.10923	17.2949	9.28683	12.695	17.1544	11.1052	16.338	14	Esyt2	Protein coding
Esyt3	1.16814	1.59388	1.52855	1.30369	1.53952	1.00889	0.887034	0.930669	0.653927	0.228244	0.544371	0.212458	19	Esyt3	Protein coding
Etaa1	4.79981	2.69937	2.85824	3.59476	2.42631	2.6845	2.42495	2.55144	2.20024	3.22626	3.36966	2.64973	15	Etaa1	Protein coding
Etf1	29.99	21.4915	24.761	25.7122	19.3687	25.7315	23.5767	19.3445	25.7072	28.4755	27.8436	30.8631	18	Etf1	Protein coding
Etfdh	13.2335	10.8037	11.5953	13.7716	10.8779	12.0443	12.7939	10.9016	14.5901	8.78237	8.07991	14.1191	19	Etfdh	Protein coding
Etl4	0.430153	0.78135	0.121326	0.330132	0.458291	0.0694603	0.18026	0.93722	0.0828947	0.561648	1.50383	0.176386	9	Etl4	Protein coding
Etnk2	0.637743	1.10699	1.16376	1.07098	1.23869	1.21091	2.11586	1.29531	3.16548	2.38067	1.56043	4.55527	16	Etnk2	Protein coding
etoile	14.1205	58.0154	23.995	25.6193	66.8687	49.0268	46.7018	88.4029	62.503	65.8053	114.352	85.7571	17	etoile	Protein coding
Ets2	2.88023	5.24436	3.53702	6.56937	5.77635	8.22502	10.7649	7.09001	15.6026	13.6975	10.5228	20.5914	16	Ets2	Protein coding
Etv1	0.236687	0.172669	0.136713	1.03327	1.40938	13.9157	0.884524	6.02252	14.8124	0.859389	7.79498	11.1736	16	Etv1	Protein coding
Etv3	7.2919	6.50043	7.44597	6.26368	5.6193	5.77184	5.97917	5.1136	5.1214	9.03298	8.0761	6.45963	8	Etv3	Protein coding
Etv4	0.243986	0.388818	0.27057	0.459538	0.823261	1.41946	0.49861	0.96793	0.589257	0.598301	1.02279	0.294722	11	Etv4	Protein coding
Etv5	1.28894	3.55978	10.5488	6.27742	11.7408	19.9251	5.20843	11.0108	6.97266	3.80776	8.86526	6.13968	11	Etv5	Protein coding
Etv6	5.04624	2.97873	2.879	4.33735	1.56532	1.70907	4.00368	1.18419	1.75276	5.65406	1.28175	2.10987	10	Etv6	Protein coding
Evc	1.01919	1.05656	1.32025	0.929631	1.4916	0.817661	1.0803	2.02804	0.982207	0.700332	1.31174	0.43686	12	Evc	Protein coding
Evc2	4.20996	2.91942	5.09943	3.12597	2.93004	2.90501	3.00964	2.65509	3.62476	2.67106	1.7185	2.64241	19	Evc2	Protein coding
Evi5	13.8721	19.3615	18.9908	15.0651	23.756	17.4777	15.4042	21.6845	16.4215	14.9182	18.4628	14.9827	12	Evi5	Protein coding
Ewsr1	204.325	183.57	196.129	196.719	192.512	176.362	169.861	179.807	141.462	137.222	155.034	124.525	19	Ewsr1	Protein coding
Exd1	0.270455	0.537458	0.557896	0.21226	0.447647	0.589155	0.228721	0.41591	1.05005	0.16504	0.360784	0.881266	11	Exd1	Protein coding
Exd2	27.4737	26.4882	25.7476	30.2055	27.8306	29.0081	32.3341	29.8359	28.9385	20.1099	15.6802	18.9026	19	Exd2	Protein coding
Exoc6	14.403	23.067	19.7267	18.2109	22.3495	24.5302	17.177	21.99	26.4947	18.5721	25.6041	29.4276	18	Exoc6	Protein coding
Exog	16.7114	14.7468	17.8774	13.9323	13.8716	17.1	12.2408	12.8553	15.5522	9.25517	10.9278	12.9922	19	Exog	Protein coding
Exosc4	16.4554	12.0674	13.8521	14.513	12.709	13.9729	12.4271	11.0458	14.1741	20.4567	19.3872	22.5254	18	Exosc4	Protein coding
Exosc5	6.50536	6.32297	8.10305	4.52245	6.10456	7.04984	3.19708	4.21813	6.22331	3.26961	2.90433	6.51114	19	Exosc5	Protein coding
Ext1	15.3517	9.87362	11.4806	18.9202	10.6216	10.0847	17.9872	13.5674	11.032	25.1	20.9042	16.3684	17	Ext1	Protein coding
Extl1	0.189957	0.144436	0.260934	0.637548	0.416392	0.282928	1.71335	1.4283	0.758551	3.71808	2.02835	2.43232	17	Extl1	Protein coding
Extl2	5.14583	5.24606	4.19904	7.01389	4.77508	4.09868	8.50442	6.07026	7.96292	9.96398	8.97516	13.8786	18	Extl2	Protein coding
Eya2	0.110482	0.555715	0.205464	0.0380836	0.44222	0.684645	0.0747825	0.463604	1.34686	0.122548	0.883799	2.56281	16	Eya2	Protein coding
Eya3	11.8134	13.6706	14.208	11.3971	12.5726	12.7735	9.83399	10.9376	9.89322	8.47473	9.4939	7.93693	19	Eya3	Protein coding
Eya4	0.0644159	0.162413	0.0290264	0.0393915	0.1385	0.0651725	0.0261515	0.17372	0.0809039	0.0364725	0.584803	0.0374177	9	Eya4	Protein coding
Ezh1	9.93658	14.5352	14.3056	11.4633	15.6977	11.6865	13.4685	15.978	12.9424	9.88852	11.8008	10.7901	13	Ezh1	Protein coding
Ezh2	55.2869	66.9763	60.1217	42.2274	55.0256	43.1196	26.3298	33.8377	21.0805	14.4208	16.6865	11.2733	19	Ezh2	Protein coding
Ezr	24.2588	13.4461	20.7019	13.1121	17.8916	13.536	4.25196	14.9272	5.69708	2.25549	12.5108	3.48867	7	Ezr	Protein coding
F2r	14.3538	13.0961	12.5199	11.5155	11.4531	12.0116	8.63181	9.92087	8.1246	4.55667	5.01935	4.33404	19	F2r	Protein coding
Faah	4.85044	3.1313	3.09885	7.71622	6.61871	9.67458	15.0523	13.2494	15.8675	21.7211	18.0446	21.7648	17	Faah	Protein coding
Fabp3	14.371	27.9321	18.4902	25.395	34.5907	37.9274	54.6013	54.1378	71.8568	96.256	102.151	120.838	17	Fabp3	Protein coding
Fabp5	248.486	150.201	216.332	226.797	156.007	379.768	232.436	170.759	543.375	288.601	219.302	856.703	16	Fabp5	Protein coding
Fabp7	10.9686	18.5315	6.37679	17.8432	18.7258	4.78796	10.7747	12.8848	7.07597	10.1569	9.36964	5.4732	1	Fabp7	Protein coding
Fadd	1.69335	1.53351	1.69786	1.20162	1.31895	1.43205	1.25359	1.13126	1.2996	0.448741	0.530975	0.48158	19	Fadd	Protein coding
Fads1	81.269	54.4765	56.2508	78.9412	49.3857	51.0058	69.7806	51.7074	43.2407	77.5736	52.9204	50.3616	15	Fads1	Protein coding
Fads2	83.7182	64.67	63.4221	106.81	70.9128	110.734	112.661	74.0372	116.117	130.413	85.7987	118.953	14	Fads2	Protein coding
Fads3	5.16999	12.831	8.57075	7.08205	14.9975	15.5583	12.9166	18.9815	22.7025	16.593	21.5129	30.5039	18	Fads3	Protein coding
Faf1	14.2819	11.4691	11.6332	13.4821	11.5197	12.9924	12.3381	12.4426	13.7718	15.2581	16.8462	19.0433	18	Faf1	Protein coding
Fah	5.85228	5.69049	4.53132	10.5767	9.67195	14.1875	13.7354	12.9169	16.014	19.9745	15.7073	18.9787	18	Fah	Protein coding
Faim	19.461	18.9855	20.3223	16.6878	20.0105	23.2019	15.1674	16.952	20.8012	12.0341	13.8698	16.1261	19	Faim	Protein coding
Faim2	2.58362	10.1027	3.86755	3.21627	11.7686	3.60912	7.24737	19.623	10.2329	11.143	38.394	16.9949	9	Faim2	Protein coding
Fam100b	42.9972	41.7587	42.5288	36.8527	35.7867	31.4089	30.766	33.4367	21.9906	25.6351	24.7812	17.8984	19	Fam100b	Protein coding
Fam101b	0.0886581	0.143231	0.136259	0.182937	0.487327	0.0395454	1.06223	2.49154	0.381984	3.08782	10.3657	0.774827	9	Fam101b	Protein coding
Fam102a	4.19559	3.30615	4.1574	3.23678	2.86968	3.36148	2.59323	3.93631	3.24119	5.07573	6.44299	4.26883	18	Fam102a	Protein coding
Fam102b	8.12324	11.7845	11.4925	11.7765	16.0715	21.2823	15.0655	20.4507	24.1076	18.5217	26.1583	24.6617	18	Fam102b	Protein coding
Fam107b	48.7893	24.6289	30.8273	43.5621	21.2464	23.8158	29.6147	17.3213	16.5534	18.4639	12.4588	9.49685	10	Fam107b	Protein coding
Fam108a	32.9835	29.3575	29.6846	29.5824	27.7243	32.0798	32.8325	29.9445	37.8688	48.4869	41.0351	56.2569	18	Fam108a	Protein coding
Fam109a	32.1749	22.8234	24.3986	26.5527	20.4764	19.1016	24.4334	20.4184	17.9508	15.7703	9.34033	9.75831	19	Fam109a	Protein coding
Fam110a	23.5708	26.1969	25.4824	16.2104	18.8368	17.0677	16.9961	20.2739	16.3962	11.6889	15.2455	12.922	19	Fam110a	Protein coding
Fam110b	31.4694	85.3357	56.5124	34.148	88.1502	60.8626	33.8234	106.065	49.5399	26.8396	97.8104	42.8531	6	Fam110b	Protein coding
Fam111a	1.12081	3.21543	1.96216	2.21172	3.02367	2.47279	2.51734	3.69611	3.47214	0.769435	0.965458	1.88006	19	Fam111a	Protein coding
Fam114a2	24.8842	21.296	27.1608	21.3543	17.7322	20.1314	18.7056	13.8036	18.8062	14.1592	10.0596	15.6133	19	Fam114a2	Protein coding
Fam116a	7.24607	7.5023	7.72183	7.90371	7.47371	7.03188	6.75008	7.26546	6.25713	3.83721	3.82977	3.24845	19	Fam116a	Protein coding
Fam116b	14.4992	21.8545	18.4868	21.8239	25.1333	27.5978	21.7096	26.0412	21.9209	28.2054	34.793	28.9004	8	Fam116b	Protein coding
Fam117a	1.36705	2.32557	2.82651	0.75413	2.07117	0.838684	0.435777	3.1179	0.65512	0.356058	3.13684	0.713811	6	Fam117a	Protein coding
Fam118a	13.5084	24.1279	17.2697	13.3496	20.0168	13.6859	13.0938	20.8358	12.5221	13.134	15.6948	10.4564	19	Fam118a	Protein coding
Fam118b	29.713	19.7933	21.3344	23.6866	18.008	17.1345	19.6141	19.012	14.5468	12.3214	10.4268	9.55662	19	Fam118b	Protein coding
Fam120b	17.5213	19.1532	19.5051	18.549	20.0755	19.752	17.7738	19.0689	18.5361	12.5573	14.6806	16.3467	19	Fam120b	Protein coding
Fam122b	0.790827	0.844627	0.628682	1.05035	0.961414	0.919781	1.19842	1.19396	0.916089	0.858353	0.603314	0.429517	13	Fam122b	Protein coding
Fam123a	24.1941	24.3249	23.6154	20.3408	21.958	13.5136	16.9755	17.586	9.92814	12.0177	11.5421	7.09043	19	Fam123a	Protein coding
Fam126a	41.8818	14.69	25.3553	34.5145	10.7102	32.4517	28.911	10.0893	33.3373	18.6344	6.59692	27.0089	10	Fam126a	Protein coding
Fam129a	0	0.00743893	0.0125778	0.0183405	0.0175591	0.0238229	0.0295451	0.00327547	0.0128887	0.282945	0.0243158	0.0345033	5	Fam129a	Protein coding
Fam129b	30.1783	38.8079	36.3482	27.4018	31.2261	43.0501	27.198	28.9863	45.1318	26.1095	29.59	42.3039	19	Fam129b	Protein coding
Fam131a	15.8731	21.8024	20.9487	13.4129	15.7742	12.6552	13.6236	17.3116	18.0742	26.822	41.311	35.0434	17	Fam131a	Protein coding
Fam131b	19.0854	24.3553	17.0772	22.9059	22.5313	26.3782	34.8811	30.5588	39.6862	41.6929	31.0726	39.4316	14	Fam131b	Protein coding
Fam131c	5.87859	10.6271	9.37114	10.1258	13.4835	25.8574	14.5918	14.9044	35.6549	18.96	16.5226	41.2021	16	Fam131c	Protein coding
Fam134a	53.4056	65.7478	56.1921	56.1141	62.7396	58.1724	60.2026	64.7475	62.3076	85.3901	85.0469	95.5538	18	Fam134a	Protein coding
Fam134b	3.77468	2.14866	2.0697	5.56399	2.67179	4.04078	6.93675	4.2962	6.84131	11.5738	5.70477	12.3966	17	Fam134b	Protein coding
Fam135a	14.4995	17.5067	15.4389	15.6133	17.2106	16.5278	13.4031	16.7325	10.9627	9.26665	11.0388	7.48413	19	Fam135a	Protein coding
Fam135b	0.196479	0.570632	0.82892	1.4046	1.22816	1.19589	1.49702	0.749285	0.946856	1.23633	0.667942	0.471249	19	Fam135b	Protein coding
Fam136a	20.4919	12.3795	17.1825	20.9793	14.1502	22.0306	21.7894	17.914	25.6958	13.3139	9.7666	20.3938	19	Fam136a	Protein coding
Fam13a	3.98078	3.8645	10.0013	3.10942	4.23287	4.04305	3.33606	4.78516	4.91232	2.80052	3.81712	4.11009	11	Fam13a	Protein coding
Fam149a	0.0862917	0.161191	0.041948	0.214821	0.553964	0.423015	0.899082	1.40052	1.01785	1.68227	3.21181	1.79268	9	Fam149a	Protein coding
Fam155a	7.58123	14.1489	7.37575	8.12327	18.2143	9.48129	11.1767	24.2623	17.4908	17.9563	40.4808	30.4865	17	Fam155a	Protein coding
Fam160b1	11.2708	12.3934	11.2893	16.7446	11.8673	7.07206	13.953	9.26141	7.12342	14.872	8.24829	5.89638	15	Fam160b1	Protein coding
Fam161b	6.14819	8.51066	8.09375	6.14862	8.57965	8.4294	6.11273	8.76448	7.92446	2.1961	3.15251	3.28635	19	Fam161b	Protein coding
Fam163b	0.217298	2.48391	0.244547	1.19138	4.22435	2.1886	5.01075	8.6543	4.6274	18.1116	33.46	7.98597	9	Fam163b	Protein coding
Fam164c	0.973116	0.907033	0.956532	0.982231	1.0274	0.975228	1.02197	1.07115	0.706749	2.25569	2.48545	1.41745	17	Fam164c	Protein coding
Fam167a	0.362987	1.57206	0.81455	0.416606	1.19098	0.625719	0.312659	1.10895	0.570726	0.272725	0.861892	0.317397	6	Fam167a	Protein coding
Fam168a	62.805	84.3253	81.3455	69.2998	88.2549	59.0117	83.9212	99.2442	58.124	80.8021	91.0143	50.815	12	Fam168a	Protein coding
Fam171a1	17.889	27.3673	22.7887	17.398	23.783	22.3373	18.0963	24.3236	23.7033	23.094	30.9855	29.3932	18	Fam171a1	Protein coding
Fam171a2	85.2606	101.543	91.1501	82.6695	93.3581	96.9875	93.6228	94.7646	107.921	142.858	134.186	172.377	18	Fam171a2	Protein coding
Fam171b	12.9014	29.4641	22.0721	20.0012	42.0072	18.5312	23.2283	39.2623	15.2291	29.6368	41.1386	17.7954	12	Fam171b	Protein coding
Fam173a	10.0179	6.62527	6.96628	11.5132	8.16839	9.18408	12.3345	10.0205	8.97544	15.9586	15.6644	17.452	8	Fam173a	Protein coding
Fam174a	0.564378	0.490225	0.233414	0.955901	0.664733	0.668815	1.64441	1.53562	0.996218	3.0165	2.6823	2.29448	17	Fam174a	Protein coding
Fam174b	23.3547	11.5445	10.6155	39.4379	14.7616	23.8059	41.7586	17.8083	34.8892	44.5521	18.0809	46.3444	4	Fam174b	Protein coding
Fam175a	2.48938	3.3556	3.59557	2.73686	3.68374	3.48378	2.94459	3.5293	3.10686	1.58912	1.98625	1.91061	13	Fam175a	Protein coding
Fam178a	24.8435	26.6725	26.9296	29.3224	32.0684	25.2988	29.7738	32.894	22.5661	17.4057	19.7599	12.541	13	Fam178a	Protein coding
Fam179b	5.99098	5.24035	5.3983	6.41936	5.81453	5.70183	5.77266	5.80339	5.36024	4.00085	4.53238	3.06754	13	Fam179b	Protein coding
Fam184a	2.45103	0.941135	1.51901	2.52481	1.31701	1.79325	2.86943	1.43788	2.58003	3.80506	2.14042	3.61312	14	Fam184a	Protein coding
Fam184b	0.360695	0.88364	0.398002	0.785741	1.31008	1.41955	1.25655	2.74587	2.65281	1.91127	3.94772	3.2923	17	Fam184b	Protein coding
Fam185a	2.82658	9.91776	10.4747	3.61707	13.9069	27.2708	5.46022	8.54144	22.2111	4.23893	4.43468	11.8175	11	Fam185a	Protein coding
Fam188a	11.7276	7.18395	9.42782	9.64324	8.37984	10.5757	10.3854	8.19341	12.4911	17.0789	10.3965	18.7914	14	Fam188a	Protein coding
Fam189a1	0.806579	7.92436	1.78742	1.35818	9.0127	1.52861	4.58218	8.68784	5.98672	12.4803	10.9454	12.219	17	Fam189a1	Protein coding
Fam189a2	1.0763	0.274849	0.0321491	3.97893	0.806766	0.787028	7.6488	2.09351	1.77273	9.56748	3.18273	2.49627	5	Fam189a2	Protein coding
Fam189b	16.2539	17.2105	19.5543	16.1086	15.8786	19.2089	18.1022	17.3766	21.8722	20.1329	18.1129	29.9622	18	Fam189b	Protein coding
Fam18a	30.8268	31.3317	33.8936	25.9245	29.0101	33.1655	25.3129	25.5252	31.3832	20.1352	18.9317	30.7487	19	Fam18a	Protein coding
Fam18b	8.89829	7.35755	8.1103	8.33427	6.62236	7.1671	7.87478	6.84123	6.06799	4.10286	4.37378	3.82313	19	Fam18b	Protein coding
Fam190a	12.9247	7.15401	8.01916	5.78105	5.51363	4.93839	3.31152	4.12576	4.3682	4.34188	5.16884	4.52746	10	Fam190a	Protein coding
Fam192a	46.1804	35.8656	41.1692	40.1911	33.5546	36.7775	35.9829	34.4321	32.2331	28.404	28.8805	27.5049	19	Fam192a	Protein coding
Fam193a	30.5242	30.7963	27.3117	28.5164	27.1911	27.0917	24.2271	23.7504	23.2977	19.136	19.8656	18.1023	19	Fam193a	Protein coding
Fam193b	56.7262	58.2874	58.6196	59.8697	56.8341	58.7616	56.9756	53.6679	44.7476	37.1553	32.8529	29.7362	19	Fam193b	Protein coding
Fam195b	59.8799	43.3135	46.6576	54.1024	40.9377	57.5344	55.0465	47.4974	61.435	77.7781	71.2774	89.4584	18	Fam195b	Protein coding
Fam196a	3.5991	6.46482	4.88376	3.38282	7.34781	2.56963	2.3221	3.85743	2.07277	1.39826	1.97539	0.963249	3	Fam196a	Protein coding
Fam198b	0.0331967	0.00772359	0.00394161	0.0227835	0.0241573	0.320015	0.0456853	0.148031	0.591279	0.107962	0.608639	0.755561	16	Fam198b	Protein coding
Fam19a1	0.0184899	0	0	0.194806	0.419816	21.1527	2.41964	0.417848	53.2	6.79257	0.20211	56.7403	16	Fam19a1	Protein coding
Fam19a2	9.25674	0.529739	0.312989	52.5494	2.42176	11.8643	76.8405	4.05458	35.5665	87.0047	2.04311	32.7175	5	Fam19a2	Protein coding
Fam19a5	9.01822	8.0114	7.63226	5.74652	10.9904	8.85644	7.07385	6.85549	14.2632	8.80121	5.79322	21.0877	11	Fam19a5	Protein coding
Fam20a	0.218864	0.358608	0.116645	0.0438091	0.431682	0.213459	0.111775	0.988086	1.05654	0.105251	1.82752	1.20998	9	Fam20a	Protein coding
Fam20b	20.1142	27.3066	24.2164	19.8549	24.491	26.9888	21.5386	25.0186	31.7598	24.3212	23.7995	35.5448	18	Fam20b	Protein coding
Fam20c	59.9255	48.8477	53.4217	53.841	43.6797	63.3167	50.4588	39.4853	57.9479	46.9946	34.3771	62.2626	19	Fam20c	Protein coding
Fam33a	21.0812	23.6626	24.3942	17.4338	19.1454	16.3409	15.2277	17.2846	11.8806	8.05944	8.92358	7.10714	19	Fam33a	Protein coding
Fam38a	1.46475	2.18056	1.68511	2.61972	4.97621	5.25325	5.4823	5.96555	5.23454	7.99446	7.78409	4.96995	17	Fam38a	Protein coding
Fam3a	12.8981	13.0205	13.3859	13.1035	13.5744	10.8368	12.9957	14.3245	8.13548	12.7363	15.123	10.4975	13	Fam3a	Protein coding
Fam3c	16.0569	12.6693	12.9969	15.8	15.7397	20.7396	14.2385	19.2345	21.1404	24.7583	25.6768	30.5111	18	Fam3c	Protein coding
Fam40b	0.0150887	0.0591566	0.0221794	0.0175565	0.0747384	0.0256642	0.0225409	0.0641686	0.625532	0.0152092	0.656024	0.0674104	16	Fam40b	Protein coding
Fam43b	2.01277	11.1853	7.81884	4.14237	14.7282	9.04673	6.97292	16.9346	11.912	14.2525	18.9123	16.8131	17	Fam43b	Protein coding
Fam46a	0.0464223	0.392111	0.0140515	0.094452	0.277351	0.027352	0.126398	0.144437	0.0630682	0.257413	0.369903	0.154312	17	Fam46a	Protein coding
Fam49a	246.511	162.455	239.138	196.92	189.067	259.268	150.007	205.431	237.822	147.678	204.3	214.722	19	Fam49a	Protein coding
Fam49b	40.6272	29.4907	32.4257	45.7444	32.0154	44.771	57.8062	38.1734	55.6911	96.3681	64.5933	78.3499	14	Fam49b	Protein coding
Fam53a	10.0041	8.62928	9.72811	7.9512	7.67983	8.67424	6.44917	7.23874	6.4199	5.62051	5.04288	3.81745	19	Fam53a	Protein coding
Fam53b	8.82488	8.18684	8.50535	6.31034	6.28683	5.45742	3.99753	3.6275	3.01639	1.7935	1.57759	1.25732	19	Fam53b	Protein coding
Fam54a	1.2836	1.37124	1.79921	1.0736	0.935498	0.996086	0.790294	0.593869	0.573135	0.323489	0.250962	0.229321	19	Fam54a	Protein coding
Fam55c	3.37096	2.57695	3.41609	3.16466	3.04075	3.41674	3.59562	3.53267	4.3503	2.78473	2.43996	3.24069	19	Fam55c	Protein coding
Fam57b	95.2025	93.0255	90.0586	100.646	90.1157	85.9094	115.391	107.633	97.4442	140.602	124.441	127.503	8	Fam57b	Protein coding
Fam59a	2.34191	3.32749	3.30558	3.24539	4.66146	3.05549	3.81902	3.90244	4.52056	5.6932	4.25461	3.80377	17	Fam59a	Protein coding
Fam59b	7.83397	1.56957	1.7552	4.99969	0.936126	0.580932	3.20912	0.652159	0.400988	1.97758	0.622589	0.175928	10	Fam59b	Protein coding
Fam5b	8.70557	97.1506	44.9691	9.38329	54.8778	30.4063	13.2225	19.7841	10.8212	16.8214	24.3107	11.3122	2	Fam5b	Protein coding
Fam5c	0.422641	0.283862	0.0872939	0.0872238	1.22057	2.69225	0.30076	5.24785	8.22341	1.07503	10.5753	26.785	16	Fam5c	Protein coding
Fam60a	36.0111	17.9784	30.9995	25.2976	14.1578	21.982	13.1416	9.44116	10.092	6.66546	3.08934	3.22947	7	Fam60a	Protein coding
Fam64a	3.2034	6.07604	1.65883	2.90502	2.9424	1.22428	2.91074	3.61271	1.11898	1.10667	1.72621	0.559566	1	Fam64a	Protein coding
Fam65b	2.48673	2.51054	0.612966	1.2675	2.31348	1.53788	1.29285	2.86998	2.07734	1.94815	4.61119	2.64245	-1	Fam65b	Protein coding
Fam69b	28.1298	29.3053	28.524	29.2137	31.3547	33.5028	32.6066	35.6554	36.6738	55.3081	54.8622	60.7757	18	Fam69b	Protein coding
Fam73a	16.4592	13.4598	14.6395	15.678	13.3798	12.0516	13.3091	11.94	10.1597	13.0751	12.9769	9.02322	19	Fam73a	Protein coding
Fam78b	24.5362	31.7716	28.5274	28.9417	33.1969	32.2682	25.5523	32.7135	26.2738	23.8383	23.8265	18.4922	13	Fam78b	Protein coding
Fam81a	0.875015	2.34482	0.817787	2.17427	3.06982	1.27133	4.25096	9.53535	6.23335	6.32554	16.5054	11.0614	9	Fam81a	Protein coding
Fam82a1	0.486046	0.627815	0.438062	0.736271	0.779813	0.71397	0.754575	0.904901	1.27149	1.04414	1.2782	1.94738	18	Fam82a1	Protein coding
Fam83d	3.26691	1.91385	3.53415	2.24257	1.02013	1.11608	0.851647	0.701888	0.868417	0.614273	0.655	1.69967	7	Fam83d	Protein coding
Fam83h	3.53458	2.81343	3.32691	2.85784	2.29953	2.25687	3.01195	2.07771	1.66216	2.02836	1.50223	0.776873	19	Fam83h	Protein coding
Fam84a	41.298	4.73797	21.5752	34.5204	5.24323	28.0492	41.1516	8.4998	40.7646	10.9112	2.1204	28.8127	10	Fam84a	Protein coding
Fam84b	3.41022	15.8534	14.9635	7.05223	7.74213	5.66618	7.38125	4.86007	6.36074	11.5158	4.30915	11.3493	14	Fam84b	Protein coding
Fam92a	28.4466	29.6244	29.4277	32.4191	34.4119	30.9561	31.3882	42.5304	30.4859	38.3584	53.8926	40.2379	8	Fam92a	Protein coding
Fam98a	30.7361	24.0217	28.2995	28.7932	23.0937	29.4104	26.4192	22.0514	29.5484	23.5743	21.2221	37.0167	19	Fam98a	Protein coding
Fan1	1.70963	1.89446	2.05951	1.81312	2.07508	1.68219	1.61219	1.75468	1.82143	0.802213	1.17062	1.23247	19	Fan1	Protein coding
Fancb	1.75276	1.23134	2.07821	1.68901	1.34547	2.30707	1.83721	1.14079	1.81368	0.704003	0.46594	1.03537	19	Fancb	Protein coding
Fancd2	0.172491	0.263577	0.115512	0.240621	0.195536	0.0748639	1.38603	0.227182	0.350994	3.57574	0.324899	0.627655	5	Fancd2	Protein coding
